No.	line_No	x	y
0	0	35.0	35.0
1	0	15.0	47.0
2	0	6.6	58.4
3	0	26.0	66.42857142857143
0	1	35.0	35.0
1	1	23.714285714285715	35.714285714285715
2	1	21.214285714285715	23.642857142857142
3	1	9.777777777777779	19.0
0	2	35.0	35.0
1	2	28.666666666666668	11.166666666666666
2	2	43.77777777777778	16.11111111111111
3	2	59.714285714285715	13.857142857142858
0	3	35.0	35.0
1	3	38.625	48.5
2	3	55.81818181818182	61.72727272727273
3	3	55.18181818181818	38.63636363636363

N PL number /48/
C PL capacity /5750.0/
v PL Velocity /0.5/
