No.	line_No	x	y
0	0	35.0	35.0
1	0	55.2	39.4
2	0	58.42857142857143	55.142857142857146
3	0	46.75	65.75
0	1	35.0	35.0
1	1	24.545454545454547	25.363636363636363
2	1	16.857142857142858	21.142857142857142
3	1	9.0	13.4
0	2	35.0	35.0
1	2	11.333333333333334	33.333333333333336
2	2	18.22222222222222	47.44444444444444
3	2	17.8	64.0
0	3	35.0	35.0
1	3	39.0	35.625
2	3	31.0	9.333333333333334
3	3	53.38461538461539	14.153846153846153

N PL number /48/
C PL capacity /5750.0/
v PL Velocity /0.5/
