No.	line_No	x	y
0	0	35.0	35.0
1	0	25.571428571428573	27.0
2	0	17.363636363636363	21.818181818181817
3	0	8.75	11.75
0	1	35.0	35.0
1	1	42.857142857142854	42.42857142857143
2	1	58.18181818181818	45.63636363636363
3	1	54.285714285714285	66.57142857142857
0	2	35.0	35.0
1	2	40.6	26.4
2	2	53.42857142857143	14.285714285714286
3	2	28.666666666666668	11.166666666666666
0	3	35.0	35.0
1	3	29.818181818181817	57.81818181818182
2	3	10.125	60.75
3	3	12.555555555555555	36.666666666666664

N PL number /24/
C PL capacity /1150.0/
v PL Velocity /0.5/
