No.	line_No	x	y
0	0	35.0	35.0
1	0	12.571428571428571	34.285714285714285
2	0	8.333333333333334	51.0
3	0	19.0	67.66666666666667
0	1	35.0	35.0
1	1	26.384615384615383	25.846153846153847
2	1	14.3	20.0
3	1	21.5	7.833333333333333
0	2	35.0	35.0
1	2	30.8	50.7
2	2	43.6	65.0
3	2	58.875	60.375
0	3	35.0	35.0
1	3	53.46153846153846	39.15384615384615
2	3	43.666666666666664	15.11111111111111
3	3	59.714285714285715	13.857142857142858

N PL number /48/
C PL capacity /5750.0/
v PL Velocity /0.5/
