No.	line_No	x	y
0	0	70.0	70.0
1	0	137.75	96.25
2	0	120.83333333333333	111.83333333333333
3	0	120.6470588235294	131.64705882352942
0	1	70.0	70.0
1	1	22.666666666666668	79.0
2	1	26.333333333333332	109.0
3	1	47.77777777777778	124.55555555555556
0	2	70.0	70.0
1	2	82.6086956521739	96.04347826086956
2	2	108.125	87.0
3	2	115.5625	61.4375
0	3	70.0	70.0
1	3	98.78378378378379	26.324324324324323
2	3	58.19047619047619	49.333333333333336
3	3	15.551724137931034	30.79310344827586

N PL number /24/
C PL capacity /1150.0/
v PL Velocity /0.5/
