No.	line_No	x	y
0	0	70.0	70.0
1	0	30.90909090909091	105.63636363636364
2	0	36.61538461538461	132.84615384615384
3	0	7.055555555555555	125.16666666666667
0	1	70.0	70.0
1	1	91.6774193548387	102.96774193548387
2	1	122.45454545454545	111.18181818181819
3	1	117.8	133.4
0	2	70.0	70.0
1	2	100.71428571428571	70.38095238095238
2	2	92.8	33.0
3	2	133.1764705882353	15.235294117647058
0	3	70.0	70.0
1	3	61.166666666666664	55.166666666666664
2	3	30.727272727272727	78.0909090909091
3	3	17.066666666666666	31.7

N PL number /24/
C PL capacity /1150.0/
v PL Velocity /0.5/
