No.	line_No	x	y
0	0	70.0	70.0
1	0	14.428571428571429	95.57142857142857
2	0	28.846153846153847	105.3076923076923
3	0	11.142857142857142	123.0
0	1	70.0	70.0
1	1	44.2	40.2
2	1	19.0	49.875
3	1	19.695652173913043	21.869565217391305
0	2	70.0	70.0
1	2	72.88888888888889	56.44444444444444
2	2	101.48275862068965	67.03448275862068
3	2	109.25	17.36111111111111
0	3	70.0	70.0
1	3	53.1	70.25
2	3	60.86666666666667	98.2
3	3	79.52380952380952	119.33333333333333

N PL number /48/
C PL capacity /3525.0/
v PL Velocity /0.5/
