No.	line_No	x	y
0	0	70.0	70.0
1	0	48.0	54.53333333333333
2	0	17.0	38.53846153846154
3	0	21.058823529411764	18.41176470588235
0	1	70.0	70.0
1	1	90.05555555555556	61.5
2	1	99.61111111111111	30.88888888888889
3	1	115.38095238095238	9.714285714285714
0	2	70.0	70.0
1	2	57.523809523809526	78.66666666666667
2	2	24.72222222222222	97.55555555555556
3	2	13.125	113.25
0	3	70.0	70.0
1	3	65.11111111111111	114.22222222222223
2	3	89.54545454545455	118.72727272727273
3	3	107.28571428571429	75.07142857142857

N PL number /48/
C PL capacity /3525.0/
v PL Velocity /0.5/
