No.	line_No	x	y
0	0	100.0	100.0
1	0	61.77272727272727	106.0909090909091
2	0	18.25	114.3
3	0	31.571428571428573	144.07142857142858
4	0	30.047619047619047	179.66666666666666
0	1	100.0	100.0
1	1	143.11764705882354	143.05882352941177
2	1	152.58333333333334	184.16666666666666
3	1	182.47826086956522	138.0
0	2	100.0	100.0
1	2	70.3913043478261	63.30434782608695
2	2	25.45	59.75
3	2	39.476190476190474	21.0
4	2	100.33333333333333	20.666666666666668
0	3	100.0	100.0
1	3	102.94444444444444	140.72222222222223
2	3	88.18518518518519	182.33333333333334
3	3	64.73913043478261	144.52173913043478
0	4	100.0	100.0
1	4	119.64285714285714	96.46428571428571
2	4	170.6153846153846	76.11538461538461
3	4	124.96666666666667	51.06666666666667
4	4	164.6	19.68

N PL number /24/
C PL capacity /1150.0/
v PL Velocity /0.5/
