No.	line_No	x	y
0	0	70.0	70.0
1	0	60.72222222222222	119.38888888888889
2	0	29.357142857142858	128.92857142857142
3	0	18.071428571428573	97.64285714285714
0	1	70.0	70.0
1	1	82.42857142857143	55.214285714285715
2	1	101.89473684210526	29.473684210526315
3	1	121.53333333333333	17.066666666666666
0	2	70.0	70.0
1	2	24.736842105263158	58.63157894736842
2	2	53.69230769230769	28.76923076923077
3	2	24.5	12.9
0	3	70.0	70.0
1	3	67.65	89.5
2	3	120.5925925925926	83.85185185185185
3	3	117.29411764705883	126.82352941176471

N PL number /24/
C PL capacity /1150.0/
v PL Velocity /0.5/
