No.	line_No	x	y
0	0	70.0	70.0
1	0	82.85714285714286	23.357142857142858
2	0	112.13333333333334	41.6
3	0	116.53333333333333	13.8
0	1	70.0	70.0
1	1	70.5	84.375
2	1	52.833333333333336	121.83333333333333
3	1	18.142857142857142	108.42857142857143
0	2	70.0	70.0
1	2	120.57894736842105	76.57894736842105
2	2	102.26666666666667	118.4
3	2	132.33333333333334	117.58333333333333
0	3	70.0	70.0
1	3	51.61538461538461	40.46153846153846
2	3	24.5	12.9
3	3	23.666666666666668	58.666666666666664

N PL number /48/
C PL capacity /5750.0/
v PL Velocity /0.5/
