No.	line_No	x	y
0	0	70.0	70.0
1	0	83.0	46.44444444444444
2	0	96.625	17.75
3	0	124.63636363636364	18.363636363636363
0	1	70.0	70.0
1	1	114.8	46.3
2	1	119.9047619047619	80.42857142857143
3	1	122.52631578947368	120.15789473684211
0	2	70.0	70.0
1	2	67.27272727272727	86.68181818181819
2	2	71.94444444444444	121.72222222222223
3	2	29.56	119.44
0	3	70.0	70.0
1	3	19.85	72.35
2	3	44.05882352941177	42.76470588235294
3	3	30.666666666666668	11.666666666666666

N PL number /24/
C PL capacity /1150.0/
v PL Velocity /0.5/
