No.	line_No	x	y
0	0	35.0	35.0
1	0	40.666666666666664	13.0
2	0	56.5	10.833333333333334
3	0	62.5	26.75
0	1	35.0	35.0
1	1	36.2	43.2
2	1	29.181818181818183	59.81818181818182
3	1	8.714285714285714	60.142857142857146
0	2	35.0	35.0
1	2	13.9	36.5
2	2	20.941176470588236	22.294117647058822
3	2	11.333333333333334	11.666666666666666
0	3	35.0	35.0
1	3	37.6	27.4
2	3	54.63636363636363	43.81818181818182
3	3	55.55555555555556	63.888888888888886

N PL number /48/
C PL capacity /5750.0/
v PL Velocity /0.5/
