No.	line_No	x	y
0	0	35.0	35.0
1	0	59.6	36.4
2	0	57.666666666666664	51.0
3	0	54.285714285714285	66.57142857142857
0	1	35.0	35.0
1	1	39.666666666666664	24.833333333333332
2	1	47.625	11.375
3	1	62.0	16.0
0	2	35.0	35.0
1	2	44.125	42.5
2	2	31.22222222222222	60.333333333333336
3	2	11.222222222222221	59.55555555555556
0	3	35.0	35.0
1	3	24.11764705882353	20.058823529411764
2	3	11.777777777777779	16.666666666666668
3	3	15.090909090909092	37.09090909090909

N PL number /24/
C PL capacity /1150.0/
v PL Velocity /0.5/
