No.	line_No	x	y
0	0	70.0	70.0
1	0	50.0	88.71428571428571
2	0	23.833333333333332	105.55555555555556
3	0	47.5	126.875
0	1	70.0	70.0
1	1	58.625	52.75
2	1	45.888888888888886	23.0
3	1	13.107142857142858	36.5
0	2	70.0	70.0
1	2	112.75	86.625
2	2	116.88235294117646	62.411764705882355
3	2	99.61111111111111	26.88888888888889
0	3	70.0	70.0
1	3	78.28571428571429	79.14285714285714
2	3	90.5625	104.125
3	3	122.46666666666667	122.4

N PL number /24/
C PL capacity /1150.0/
v PL Velocity /0.5/
