No.	line_No	x	y
0	0	35.0	35.0
1	0	23.833333333333332	50.333333333333336
2	0	7.666666666666667	57.333333333333336
3	0	26.333333333333332	67.83333333333333
0	1	35.0	35.0
1	1	46.142857142857146	44.285714285714285
2	1	44.0	62.4
3	1	58.666666666666664	59.0
0	2	35.0	35.0
1	2	32.22222222222222	28.444444444444443
2	2	21.58823529411765	19.941176470588236
3	2	11.333333333333334	11.666666666666666
0	3	35.0	35.0
1	3	57.0	33.75
2	3	51.76923076923077	12.923076923076923
3	3	12.25	35.375

N PL number /48/
C PL capacity /5750.0/
v PL Velocity /0.5/
