No.	line_No	x	y
0	0	70.0	70.0
1	0	30.90909090909091	105.63636363636364
2	0	36.61538461538461	132.84615384615384
3	0	7.055555555555555	125.16666666666667
0	1	70.0	70.0
1	1	78.8	98.3
2	1	97.80952380952381	105.19047619047619
3	1	120.23809523809524	121.76190476190476
0	2	70.0	70.0
1	2	30.727272727272727	78.0909090909091
2	2	22.272727272727273	33.27272727272727
3	2	2.75	27.375
0	3	70.0	70.0
1	3	100.71428571428571	70.38095238095238
2	3	78.74074074074075	42.851851851851855
3	3	133.1764705882353	15.235294117647058

N PL number /24/
C PL capacity /1150.0/
v PL Velocity /0.5/
