No.	line_No	x	y
0	0	35.0	35.0
1	0	54.111111111111114	42.0
2	0	57.285714285714285	56.57142857142857
3	0	53.25	70.75
0	1	35.0	35.0
1	1	34.25	49.875
2	1	26.0	66.42857142857143
3	1	10.11111111111111	53.77777777777778
0	2	35.0	35.0
1	2	20.6875	27.75
2	2	8.0	26.833333333333332
3	2	20.09090909090909	12.363636363636363
0	3	35.0	35.0
1	3	37.714285714285715	27.285714285714285
2	3	50.666666666666664	12.333333333333334
3	3	62.5	26.75

N PL number /24/
C PL capacity /1150.0/
v PL Velocity /0.5/
