No.	line_No	x	y
0	0	100.0	100.0
1	0	139.58823529411765	132.76470588235293
2	0	151.8421052631579	150.1578947368421
3	0	169.375	121.875
0	1	100.0	100.0
1	1	129.08	58.16
2	1	123.58823529411765	29.176470588235293
3	1	169.3793103448276	55.793103448275865
0	2	100.0	100.0
1	2	74.76	98.12
2	2	30.40625	98.34375
3	2	40.4	78.4
4	2	18.19047619047619	63.76190476190476
0	3	100.0	100.0
1	3	82.75862068965517	130.72413793103448
2	3	106.16666666666667	156.91666666666666
3	3	63.14705882352941	180.7941176470588
4	3	23.25925925925926	175.77777777777777
0	4	100.0	100.0
1	4	72.16666666666667	74.25
2	4	100.53333333333333	76.26666666666667
3	4	97.76190476190476	51.904761904761905
4	4	81.03333333333333	19.3

N PL number /48/
C PL capacity /3525.0/
v PL Velocity /0.5/
