No.	line_No	x	y
0	0	100.0	100.0
1	0	111.14285714285714	55.371428571428574
2	0	121.9	8.766666666666667
3	0	164.8181818181818	21.0
0	1	100.0	100.0
1	1	63.5625	140.5625
2	1	24.347826086956523	133.8695652173913
3	1	15.125	159.8125
4	1	39.476190476190474	183.52380952380952
0	2	100.0	100.0
1	2	180.71794871794873	108.2051282051282
2	2	183.31034482758622	137.89655172413794
3	2	153.93333333333334	174.8
4	2	85.10714285714286	185.67857142857142
0	3	100.0	100.0
1	3	74.77272727272727	99.86363636363636
2	3	59.9	45.675
3	3	23.818181818181817	34.72727272727273
4	3	14.857142857142858	76.82142857142857
0	4	100.0	100.0
1	4	113.92307692307692	121.38461538461539
2	4	140.8	78.53333333333333
3	4	175.625	64.5

N PL number /24/
C PL capacity /1150.0/
v PL Velocity /0.5/
