No.	line_No	x	y
0	0	35.0	35.0
1	0	45.333333333333336	17.666666666666668
2	0	48.333333333333336	9.666666666666666
3	0	61.166666666666664	18.166666666666668
0	1	35.0	35.0
1	1	25.666666666666668	33.333333333333336
2	1	10.75	33.375
3	1	13.727272727272727	56.0
0	2	35.0	35.0
1	2	28.666666666666668	11.166666666666666
2	2	19.46153846153846	22.46153846153846
3	2	9.0	13.4
0	3	35.0	35.0
1	3	40.125	33.875
2	3	56.93333333333333	47.733333333333334
3	3	39.30769230769231	63.76923076923077

N PL number /24/
C PL capacity /1150.0/
v PL Velocity /0.5/
