No.	line_No	x	y
0	0	100.0	100.0
1	0	190.95454545454547	86.77272727272727
2	0	185.7391304347826	39.0
0	1	100.0	100.0
1	1	131.25	103.03571428571429
2	1	183.82857142857142	119.71428571428571
3	1	181.66666666666666	154.8
4	1	137.96	181.96
0	2	100.0	100.0
1	2	100.81818181818181	68.54545454545455
2	2	138.14285714285714	33.19047619047619
3	2	145.11111111111111	5.518518518518518
4	2	112.15789473684211	8.842105263157896
0	3	100.0	100.0
1	3	93.22727272727273	121.18181818181819
2	3	98.24	159.52
3	3	59.77272727272727	189.6818181818182
4	3	18.285714285714285	145.57142857142858
0	4	100.0	100.0
1	4	42.7	106.2
2	4	15.5	86.8
3	4	8.0	70.4
4	4	53.8974358974359	49.35897435897436

N PL number /24/
C PL capacity /1150.0/
v PL Velocity /0.5/
