No.	line_No	x	y
0	0	70.0	70.0
1	0	96.14814814814815	33.25925925925926
2	0	96.14285714285714	7.857142857142857
3	0	129.83333333333334	24.0
0	1	70.0	70.0
1	1	112.21052631578948	70.73684210526316
2	1	124.1875	107.5625
3	1	119.66666666666667	130.94444444444446
0	2	70.0	70.0
1	2	63.5625	60.1875
2	2	48.5	36.2
3	2	13.925925925925926	31.185185185185187
0	3	70.0	70.0
1	3	85.47619047619048	98.57142857142857
2	3	22.666666666666668	79.0
3	3	34.375	114.83333333333333

N PL number /48/
C PL capacity /5750.0/
v PL Velocity /0.5/
