No.	line_No	x	y
0	0	70.0	70.0
1	0	19.57894736842105	45.473684210526315
2	0	4.111111111111111	26.333333333333332
3	0	33.5	8.833333333333334
0	1	70.0	70.0
1	1	34.714285714285715	93.14285714285714
2	1	28.142857142857142	114.5
3	1	53.25	134.5
0	2	70.0	70.0
1	2	113.6	69.3
2	2	124.1875	107.5625
3	2	119.66666666666667	130.94444444444446
0	3	70.0	70.0
1	3	85.54545454545455	96.77272727272727
2	3	59.3	49.1
3	3	101.02631578947368	27.605263157894736

N PL number /48/
C PL capacity /5750.0/
v PL Velocity /0.5/
