No.	line_No	x	y
0	0	100.0	100.0
1	0	73.91666666666667	149.41666666666666
2	0	67.31818181818181	182.72727272727272
3	0	45.13333333333333	184.26666666666668
4	0	20.047619047619047	172.76190476190476
0	1	100.0	100.0
1	1	136.15384615384616	61.38461538461539
2	1	169.3793103448276	55.793103448275865
0	2	100.0	100.0
1	2	100.625	155.25
2	2	131.75	163.16666666666666
3	2	140.69565217391303	136.1304347826087
4	2	165.5	132.6875
0	3	100.0	100.0
1	3	89.33333333333333	125.94444444444444
2	3	70.2	107.4
3	3	32.15	93.9
4	3	19.75	65.08333333333333
0	4	100.0	100.0
1	4	72.32	79.48
2	4	103.82857142857142	64.91428571428571
3	4	124.68181818181819	35.18181818181818
4	4	83.35135135135135	22.675675675675677

N PL number /48/
C PL capacity /3525.0/
v PL Velocity /0.5/
