No.	line_No	x	y
0	0	100.0	100.0
1	0	62.19230769230769	53.65384615384615
2	0	51.93333333333333	31.133333333333333
3	0	17.818181818181817	39.09090909090909
4	0	13.041666666666666	77.95833333333333
0	1	100.0	100.0
1	1	155.45454545454547	108.22727272727273
2	1	185.6060606060606	134.66666666666666
3	1	186.39285714285714	92.32142857142857
0	2	100.0	100.0
1	2	53.0	88.2
2	2	22.166666666666668	141.19444444444446
3	2	36.96296296296296	179.33333333333334
4	2	80.96296296296296	184.8148148148148
0	3	100.0	100.0
1	3	101.92592592592592	73.70370370370371
2	3	129.24	48.56
3	3	150.23076923076923	11.653846153846153
4	3	99.6	13.066666666666666
0	4	100.0	100.0
1	4	83.03571428571429	125.60714285714286
2	4	122.77777777777777	169.22222222222223
3	4	162.45454545454547	175.1818181818182

N PL number /48/
C PL capacity /5750.0/
v PL Velocity /0.5/
