No.	line_No	x	y
0	0	70.0	70.0
1	0	93.07142857142857	39.214285714285715
2	0	121.875	28.5
3	0	104.66666666666667	8.0
0	1	70.0	70.0
1	1	131.1	69.3
2	1	115.9	92.1
3	1	116.06666666666666	129.13333333333333
0	2	70.0	70.0
1	2	59.9	54.1
2	2	64.28571428571429	17.0
3	2	26.136363636363637	29.636363636363637
0	3	70.0	70.0
1	3	69.14285714285714	93.25
2	3	41.73076923076923	126.15384615384616
3	3	20.695652173913043	86.30434782608695

N PL number /48/
C PL capacity /5750.0/
v PL Velocity /0.5/
