No.	line_No	x	y
0	0	40.0	50.0
1	0	63.857142857142854	57.57142857142857
2	0	72.33333333333333	56.0
3	0	89.44444444444444	31.666666666666668
0	1	40.0	50.0
1	1	27.285714285714285	52.285714285714285
2	1	21.5	53.0
3	1	5.333333333333333	40.55555555555556
0	2	40.0	50.0
1	2	48.72727272727273	34.54545454545455
2	2	30.0	32.15384615384615
3	2	39.875	9.375
0	3	40.0	50.0
1	3	40.583333333333336	67.5
2	3	60.77777777777778	81.88888888888889
3	3	19.625	80.0

N PL number /24/
C PL capacity /1150.0/
v PL Velocity /0.5/
