No.	line_No	x	y
0	0	100.0	100.0
1	0	61.81818181818182	132.36363636363637
2	0	23.2	128.0
3	0	19.318181818181817	152.13636363636363
4	0	37.30434782608695	183.6086956521739
0	1	100.0	100.0
1	1	154.47619047619048	112.28571428571429
2	1	188.77777777777777	103.5925925925926
3	1	185.10344827586206	138.89655172413794
4	1	150.2	173.0
0	2	100.0	100.0
1	2	106.23333333333333	65.86666666666666
2	2	127.80434782608695	15.76086956521739
3	2	163.10526315789474	57.526315789473685
0	3	100.0	100.0
1	3	95.25	117.05
2	3	72.3	158.1
3	3	86.04166666666667	188.58333333333334
0	4	100.0	100.0
1	4	54.0	82.18181818181819
2	4	13.074074074074074	75.37037037037037
3	4	65.35714285714286	51.42857142857143
4	4	39.68181818181818	31.59090909090909

N PL number /48/
C PL capacity /5750.0/
v PL Velocity /0.5/
