No.	line_No	x	y
0	0	35.0	35.0
1	0	23.625	28.0
2	0	20.77777777777778	21.11111111111111
3	0	10.285714285714286	15.714285714285714
0	1	35.0	35.0
1	1	55.36363636363637	40.18181818181818
2	1	49.42857142857143	60.285714285714285
3	1	61.6	63.4
0	2	35.0	35.0
1	2	39.0	31.5
2	2	53.38461538461539	14.153846153846153
3	2	31.0	9.333333333333334
0	3	35.0	35.0
1	3	30.5	56.0
2	3	11.285714285714286	62.57142857142857
3	3	11.11111111111111	38.666666666666664

N PL number /48/
C PL capacity /5750.0/
v PL Velocity /0.5/
