No.	line_No	x	y
0	0	40.0	50.0
1	0	86.0	46.0
2	0	83.75	32.5
3	0	93.0	32.5
0	1	40.0	50.0
1	1	66.0	43.666666666666664
2	1	64.88888888888889	58.666666666666664
3	1	58.09090909090909	77.81818181818181
0	2	40.0	50.0
1	2	48.09090909090909	33.18181818181818
2	2	30.818181818181817	31.454545454545453
3	2	40.1	10.8
0	3	40.0	50.0
1	3	31.46153846153846	57.53846153846154
2	3	20.09090909090909	76.54545454545455
3	3	6.333333333333333	43.666666666666664

N PL number /48/
C PL capacity /3525.0/
v PL Velocity /0.5/
